Venue Category,Main Category,level
Tabbakhi,Middle Eastern Restaurant,1
Tabbakhi,Persian Restaurant,2
Persian Restaurant,Food,0
Persian Restaurant,Middle Eastern Restaurant,1
Shawarma Place,Food,0
Shawarma Place,Middle Eastern Restaurant,1
Syrian Restaurant,Food,0
Syrian Restaurant,Middle Eastern Restaurant,1
Yemeni Restaurant,Food,0
Yemeni Restaurant,Middle Eastern Restaurant,1
Middle Eastern Restaurant,Food,0
Modern European Restaurant,Food,0
Molecular Gastronomy Restaurant,Food,0
Pakistani Restaurant,Food,0
Pet Café,Food,0
Pizza Place,Food,0
Polish Restaurant,Food,0
Portuguese Restaurant,Food,0
Poutine Place,Food,0
Restaurant,Food,0
Blini House,Food,0
Blini House,Russian Restaurant,1
Pelmeni House,Food,0
Pelmeni House,Russian Restaurant,1
Russian Restaurant,Food,0
Salad Place,Food,0
Sandwich Place,Food,0
Scandinavian Restaurant,Food,0
Scottish Restaurant,Food,0
Seafood Restaurant,Food,0
Slovak Restaurant,Food,0
Snack Place,Food,0
Soup Place,Food,0
Southern / Soul Food Restaurant,Food,0
Paella Restaurant,Food,0
Paella Restaurant,Spanish Restaurant,1
Tapas Restaurant,Food,0
Tapas Restaurant,Spanish Restaurant,1
Spanish Restaurant,Food,0
Sri Lankan Restaurant,Food,0
Steakhouse,Food,0
Swiss Restaurant,Food,0
Tea Room,Food,0
Theme Restaurant,Food,0
Truck Stop,Food,0
Borek Place,Food,0
Borek Place,Turkish Restaurant,1
Cigkofte Place,Food,0
Cigkofte Place,Turkish Restaurant,1
Doner Restaurant,Food,0
Doner Restaurant,Turkish Restaurant,1
Gozleme Place,Food,0
Gozleme Place,Turkish Restaurant,1
Kofte Place,Food,0
Kofte Place,Turkish Restaurant,1
Kokoreç Restaurant,Food,0
Kokoreç Restaurant,Turkish Restaurant,1
Kumpir Restaurant,Food,0
Kumpir Restaurant,Turkish Restaurant,1
Kumru Restaurant,Food,0
Kumru Restaurant,Turkish Restaurant,1
Manti Place,Food,0
Manti Place,Turkish Restaurant,1
Meyhane,Food,0
Meyhane,Turkish Restaurant,1
Pide Place,Food,0
Pide Place,Turkish Restaurant,1
Pilavcı,Food,0
Pilavcı,Turkish Restaurant,1
Söğüş Place,Food,0
Söğüş Place,Turkish Restaurant,1
Tantuni Restaurant,Food,0
Tantuni Restaurant,Turkish Restaurant,1
Turkish Coffeehouse,Food,0
Turkish Coffeehouse,Turkish Restaurant,1
Turkish Home Cooking Restaurant,Food,0
Turkish Home Cooking Restaurant,Turkish Restaurant,1
Çöp Şiş Place,Food,0
Çöp Şiş Place,Turkish Restaurant,1
Turkish Restaurant,Food,0
Varenyky restaurant,Food,0
Varenyky restaurant,Ukrainian Restaurant,1
West-Ukrainian Restaurant,Food,0
West-Ukrainian Restaurant,Ukrainian Restaurant,1
Ukrainian Restaurant,Food,0
Vegetarian / Vegan Restaurant,Food,0
Wings Joint,Food,0
Beach Bar,Nightlife Spot,0
Beach Bar,Bar,1
Beer Bar,Nightlife Spot,0
Beer Bar,Bar,1
Beer Garden,Nightlife Spot,0
Beer Garden,Bar,1
Champagne Bar,Nightlife Spot,0
Champagne Bar,Bar,1
Cocktail Bar,Nightlife Spot,0
Cocktail Bar,Bar,1
Dive Bar,Nightlife Spot,0
Dive Bar,Bar,1
Gay Bar,Nightlife Spot,0
Gay Bar,Bar,1
Hookah Bar,Nightlife Spot,0
Hookah Bar,Bar,1
Hotel Bar,Nightlife Spot,0
Hotel Bar,Bar,1
Karaoke Bar,Nightlife Spot,0
Karaoke Bar,Bar,1
Pub,Nightlife Spot,0
Pub,Bar,1
Sake Bar,Nightlife Spot,0
Sake Bar,Bar,1
Speakeasy,Nightlife Spot,0
Speakeasy,Bar,1
Sports Bar,Nightlife Spot,0
Sports Bar,Bar,1
Tiki Bar,Nightlife Spot,0
Tiki Bar,Bar,1
Whisky Bar,Nightlife Spot,0
Whisky Bar,Bar,1
Wine Bar,Nightlife Spot,0
Wine Bar,Bar,1
Bar,Nightlife Spot,0
Brewery,Nightlife Spot,0
Lounge,Nightlife Spot,0
Night Market,Nightlife Spot,0
Nightclub,Nightlife Spot,0
Other Nightlife,Nightlife Spot,0
Strip Club,Nightlife Spot,0
Badminton Court,Outdoors & Recreation,0
Badminton Court,Athletics & Sports,1
Baseball Field,Outdoors & Recreation,0
Baseball Field,Athletics & Sports,1
Basketball Court,Outdoors & Recreation,0
Basketball Court,Athletics & Sports,1
Bowling Green,Outdoors & Recreation,0
Bowling Green,Athletics & Sports,1
Curling Ice,Outdoors & Recreation,0
Curling Ice,Athletics & Sports,1
Golf Course,Outdoors & Recreation,0
Golf Course,Athletics & Sports,1
Golf Driving Range,Outdoors & Recreation,0
Golf Driving Range,Athletics & Sports,1
Boxing Gym,Outdoors & Recreation,0
Boxing Gym,Athletics & Sports,1
Boxing Gym,Gym / Fitness Center,2
Climbing Gym,Outdoors & Recreation,0
Climbing Gym,Athletics & Sports,1
Climbing Gym,Gym / Fitness Center,2
Cycle Studio,Outdoors & Recreation,0
Cycle Studio,Athletics & Sports,1
Cycle Studio,Gym / Fitness Center,2
Gym Pool,Outdoors & Recreation,0
Gym Pool,Athletics & Sports,1
Gym Pool,Gym / Fitness Center,2
Gymnastics Gym,Outdoors & Recreation,0
Gymnastics Gym,Athletics & Sports,1
Gymnastics Gym,Gym / Fitness Center,2
Gym,Outdoors & Recreation,0
Gym,Athletics & Sports,1
Gym,Gym / Fitness Center,2
Martial Arts Dojo,Outdoors & Recreation,0
Martial Arts Dojo,Athletics & Sports,1
Martial Arts Dojo,Gym / Fitness Center,2
Outdoor Gym,Outdoors & Recreation,0
Outdoor Gym,Athletics & Sports,1
Outdoor Gym,Gym / Fitness Center,2
Pilates Studio,Outdoors & Recreation,0
Pilates Studio,Athletics & Sports,1
Pilates Studio,Gym / Fitness Center,2
Track,Outdoors & Recreation,0
Track,Athletics & Sports,1
Track,Gym / Fitness Center,2
Weight Loss Center,Outdoors & Recreation,0
Weight Loss Center,Athletics & Sports,1
Weight Loss Center,Gym / Fitness Center,2
Yoga Studio,Outdoors & Recreation,0
Yoga Studio,Athletics & Sports,1
Yoga Studio,Gym / Fitness Center,2
Gym / Fitness Center,Outdoors & Recreation,0
Gym / Fitness Center,Athletics & Sports,1
Hockey Field,Outdoors & Recreation,0
Hockey Field,Athletics & Sports,1
Hockey Rink,Outdoors & Recreation,0
Hockey Rink,Athletics & Sports,1
Paintball Field,Outdoors & Recreation,0
Paintball Field,Athletics & Sports,1
Rugby Pitch,Outdoors & Recreation,0
Rugby Pitch,Athletics & Sports,1
Skate Park,Outdoors & Recreation,0
Skate Park,Athletics & Sports,1
Skating Rink,Outdoors & Recreation,0
Skating Rink,Athletics & Sports,1
Soccer Field,Outdoors & Recreation,0
Soccer Field,Athletics & Sports,1
Sports Club,Outdoors & Recreation,0
Sports Club,Athletics & Sports,1
Squash Court,Outdoors & Recreation,0
Squash Court,Athletics & Sports,1
Tennis Court,Outdoors & Recreation,0
Tennis Court,Athletics & Sports,1
Volleyball Court,Outdoors & Recreation,0
Volleyball Court,Athletics & Sports,1
Athletics & Sports,Outdoors & Recreation,0
Bathing Area,Outdoors & Recreation,0
Bay,Outdoors & Recreation,0
Nudist Beach,Outdoors & Recreation,0
Nudist Beach,Beach,1
Surf Spot,Outdoors & Recreation,0
Surf Spot,Beach,1
Beach,Outdoors & Recreation,0
Bike Trail,Outdoors & Recreation,0
Botanical Garden,Outdoors & Recreation,0
Bridge,Outdoors & Recreation,0
